"route_short_name";"direction_id";"trip_headsign";"num_stops";"total_trips";"trips_peak_am";"trips_midday";"trips_peak_pm"
"132";0;"132 Capitol Hill";1;23;0.0;3.0;6.0
"132";1;"132 Hastings @ Gilmore";1;23;0.0;3.0;6.0
"133";0;"133 Edmonds Station";1;49;0.0;6.0;12.0
"133";1;"133 Holdom Station";1;51;0.0;6.0;10.0
"134";0;"134 Lake City Station";1;37;0.0;6.0;6.0
"134";1;"134 Brentwood Station";1;36;0.0;6.0;6.0
"136";0;"136 Lougheed Station";1;34;0.0;6.0;5.0
"136";1;"136 Brentwood Station";1;38;0.0;6.0;6.0
"143";0;"143 Burquitlam Station";1;54;0.0;10.0;13.0
"143";1;"143 SFU";1;54;0.0;9.0;12.0
"144";0;"144 SFU";1;63;0.0;12.0;11.0
"144";1;"144 Metrotown Station";2;64;0.0;12.0;11.0
"145";0;"145 SFU";1;112;0.0;17.0;25.0
"145";1;"145 Production Station";1;115;0.0;18.0;26.0
"146";0;"146 Metrotown Station";1;37;0.0;6.0;6.0
"146";1;"146 Suncrest";1;37;0.0;6.0;6.0
"147";0;"147 Edmonds Station";1;55;0.0;6.0;15.0
"147";1;"147 Metrotown Station";1;55;0.0;6.0;14.0
"148";0;"148 Edmonds Station";1;53;0.0;6.0;12.0
"148";1;"148 Royal Oak Station";1;54;0.0;6.0;12.0
"151";0;"151 Como Lake Ave to Coquitlam Central Station";1;42;0.0;6.0;6.0
"151";1;"151 Como Lake Ave to Burquitlam Station";1;42;0.0;6.0;6.0
"152";0;"152 Coquitlam Central Station";1;32;0.0;6.0;6.0
"152";0;"152 Coquitlam Central Station via Chilko";1;12;0.0;0.0;6.0
"152";1;"152 Lougheed Station";1;33;0.0;6.0;7.0
"152";1;"152 Lougheed Station via Chilko";1;14;0.0;0.0;5.0
"153";0;"153 Coquitlam Central Station";1;49;0.0;6.0;11.0
"153";1;"153 Braid Station";1;51;0.0;6.0;11.0
"155";0;"155 Braid Station via Hospital";1;47;0.0;6.0;9.0
"155";1;"155 22nd St Station via Hospital";1;47;0.0;6.0;8.0
